ID	NAME	PARENT	FILE
31362	Ahnfeltiaceae	31361	283
28022	Ahnfeltia	31362	283
369754	Acrosymphytales	2806	283
142495	Acrosymphytaceae	369754	283
142496	Acrosymphyton	142495	284
902690	unclassified Acrosymphytales	369754	284
369753	Sebdeniales	2806	284
902720	unclassified Sebdeniales	369753	284
50885	Sebdeniaceae	369753	284
38377	Sebdenia	50885	284
1090564	unclassified Sebdeniaceae	50885	284
197879	Lesleigha	1090564	284
327985	Crassitegula	50885	284
1405800	Entwisleiales	2806	284
1405801	Entwisleiaceae	1405800	285
1405802	Entwisleia	1405801	285
658648	Colaconematales	2806	285
902699	unclassified Colaconematales	658648	285
658649	Colaconemataceae	658648	285
173032	Colaconema	658649	285
1443949	Corallinophycidae	2806	285
1443969	unclassified Corallinophycidae	1443949	285
31491	Rhodogorgonales	1443949	285
682387	environmental samples	31491	285
31492	Rhodogorgonaceae	31491	286
31495	Rhodogorgon	31492	286
1807720	Rhodenigma	31492	286
31493	Renouxia	31492	286
1707143	Corallinophycidae incertae sedis	1443949	286
1705612	Corallinapetra	1707143	286
31395	Corallinales	1443949	286
646746	unclassified Corallinales	31395	286
682385	environmental samples	31395	286
31396	Corallinaceae	31395	286
221932	Neogoniolithon	31396	287
239170	Pseudolithophyllum	31396	287
48610	Amphiroideae	31396	287
48961	Lithothrix	48610	287
35167	Amphiroa	48610	287
348086	unclassified Corallinaceae	31396	287
48611	Corallinoideae	31396	287
464688	Marginisporum	48611	287
31397	Jania	48611	287
1444978	unclassified Corallinoideae	48611	287
48940	Calliarthron	48611	288
48947	Spongites	48611	288
48945	Haliptilon	48611	288
1497426	Johansenia	48611	288
1086041	Alatocladia	48611	288
48614	Bossiella	48611	288
48976	Arthrocardia	48611	288
48612	Cheilosporum	48611	288
35169	Corallina	48611	288
586246	environmental samples	35169	288
1086047	Chiharaea	48611	289
48950	Serraticardia	48611	289
1548135	Paulsilvella	31396	289
48953	Lithophylloideae	31396	289
48954	Lithophyllum	48953	289
89942	Titanoderma	48953	289
48609	Metagoniolithoideae	31396	289
48607	Metagoniolithon	48609	289
231756	Metamastophora	31396	289
231753	Porolithon	31396	289
348038	Mastophoroideae	31396	290
348039	Pneophyllum	348038	290
1499699	unclassified Mastophoroideae	348038	290
231750	Hydrolithon	31396	290
48966	Sporolithaceae	31395	290
48969	Sporolithon	48966	290
48967	Heydrichia	48966	290
498764	Rhodachlyales	2806	290
498765	Rhodachlyaceae	498764	290
498766	Rhodachlya	498765	290
199699	Nemastomatales	2806	291
902711	unclassified Nemastomatales	199699	291
173458	Nemastomataceae	199699	291
173459	Predaea	173458	291
197834	Adelophycus	173458	291
239168	Nemastoma	173458	291
42185	Schizymeniaceae	199699	291
197836	Platoma	42185	291
38532	Titanophora	42185	291
197876	Wetherbeella	42185	291
38367	Schizymenia	42185	292
31355	Acrochaetiales	2806	292
31356	Acrochaetiaceae	31355	292
31357	Acrochaetium	31356	292
525894	Grania	31356	292
39575	Rhodochorton	31356	292
257599	Schmitziella	31356	292
31359	Audouinella	31356	292
67956	unclassified Acrochaetiales	31355	292
31477	Hildenbrandiales	2806	292
31478	Hildenbrandiaceae	31477	293
31479	Hildenbrandia	31478	293
79258	Apophlaea	31478	293
902708	unclassified Hildenbrandiales	31477	293
2819	Palmariales	2806	293
909750	Meiodiscaceae	2819	293
39571	Meiodiscus	909750	293
909746	Rubrointrusa	909750	293
902712	unclassified Palmariales	2819	293
39570	Rhodophysemataceae	2819	293
909747	Rhodonematella	39570	294
39577	Rhodophysema	39570	294
2820	Palmariaceae	2819	294
2821	Palmaria	2820	294
35201	Devaleraea	2820	294
31489	Halosaccion	2820	294
39579	Rhodothamniellaceae	2819	294
79946	Camontagnea	39579	294
39580	Rhodothamniella	39579	294
35203	Plocamiales	2806	294
38556	Sarcodiaceae	35203	295
38557	Sarcodia	38556	295
40389	Trematocarpus	38556	295
31450	Plocamiaceae	35203	295
31451	Plocamium	31450	295
35205	Plocamiocolax	31450	295
902713	unclassified Plocamiales	35203	295
31370	Batrachospermales	2806	295
902695	unclassified Batrachospermales	31370	295
31371	Batrachospermaceae	31370	295
67912	Sirodotia	31371	296
67915	Tuomeya	31371	296
1354350	unclassified Batrachospermaceae	31371	296
2809	Batrachospermum	31371	296
320782	Petrohua	31371	296
39573	Nothocladus	31371	296
644269	Kumanoa	31371	296
1586338	environmental samples	31371	296
109051	Chantransia	31371	296
1486645	Sheathia	31371	296
31374	Lemaneaceae	31370	297
31375	Paralemanea	31374	297
67899	Lemanea	31374	297
67901	Psilosiphonaceae	31370	297
67902	Psilosiphon	67901	297
177372	Balliopsis	31370	297
31399	Gelidiales	2806	297
436067	Aphanta	31399	297
902705	unclassified Gelidiales	31399	297
2808	Gelidiaceae	31399	297
28859	Pterocladia	2808	298
586260	environmental samples	28859	298
37203	Ptilophora	2808	298
28857	Onikusa	2808	298
417196	Parviphycus	2808	298
82842	Acanthopeltis	2808	298
1238361	unclassified Gelidiaceae	2808	298
82845	Yatabella	2808	298
28864	Capreolia	2808	298
252156	Beckerella	2808	298
28866	Gelidiella	2808	299
2811	Gelidium	2808	299
70837	Pterocladiella	2808	299
50289	Halymeniales	2806	299
31453	Halymeniaceae	50289	299
1506557	Galene	31453	299
241239	Yonagunia	31453	299
1506555	Amalthea	31453	299
796362	Thamnoclonium	31453	299
257604	Epiphloea	31453	299
257606	Norrissia	31453	300
197847	Zymurgia	31453	300
796369	Gelinaria	31453	300
42020	Halymenia	31453	300
1399954	Kintokiocolax	31453	300
408201	Isabbottia	31453	300
931253	Glaphyrosiphon	31453	300
1088690	Sinotubimorpha	31453	300
31454	Grateloupia	31453	300
2815	Carpopeltis	31453	300
1562368	Dermocorynus	31453	301
38359	Pachymenia	31453	301
796372	Codiophyllum	31453	301
151736	Polyopes	31453	301
42010	Cryptonemia	31453	301
38375	Aeodes	31453	301
1503764	Acrodiscus	31453	301
1435011	unclassified Halymeniaceae	31453	301
176238	Pachymeniopsis	31453	301
31456	Prionitis	31453	301
884981	unclassified Halymeniales	50289	302
